model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
bert-base-uncased,13,sci.space,0,0,128,8,1.7795824899845247,0.9985157528518264,1.0346177965157546,0.9682633606042673,8.0,1.7125112549516484,1.0199025338730783,8.0,0.09003277017139348,1.60076610792787,0.9697679028507742,8.0,0.2400333648350958,1.5638714085606142,1.020964786110734,8.0,0.2895587983096186,1.3034454975014291,0.9661040125681202,8.0,0.6391403467271243,False,True,True
bert-base-uncased,13,sci.space,0,0,128,16,1.4886888825612794,0.7606197623619313,0.7626432458727914,0.7264845861198648,16.0,1.431192792078951,0.7733258773272653,16.0,0.07919073895212647,1.2553776523976825,0.7410040226693058,16.0,0.3213451309035272,1.1297750200061494,0.7781488033166251,16.0,0.49434063703232894,0.9942621128205608,0.7451460516697799,16.0,0.6809858013826945,False,True,True
bert-base-uncased,13,sci.space,0,0,128,32,1.1608177967998752,0.5132028034655717,0.5014845050201333,0.4879911228322751,32.0,1.1007145550344564,0.508177370600787,32.0,0.09115760195148316,0.8757428461356151,0.49547341206908424,32.0,0.4323685065177821,0.681114022529124,0.5068145004411214,32.0,0.7275588541508108,0.6157027354363223,0.4973890692954434,32.0,0.8267670814742585,False,True,True
bert-base-uncased,13,sci.space,0,1,128,8,2.3071490597152784,1.1224526641731434,1.2036989406376828,1.1287351011471078,8.0,1.713052384179675,1.1595466107196744,8.0,0.5383992128545196,1.9461966186509556,1.1363734691323333,8.0,0.32711260330104713,2.0763417982528374,1.1814161941059131,8.0,0.2091687313019452,1.5054786111878014,1.136116303522,8.0,0.7265126304011055,False,True,True
bert-base-uncased,13,sci.space,0,1,128,16,1.5054786111878014,0.7441825599377089,0.7646306765593545,0.7349424109715066,16.0,0.9905347646637499,0.7449630813101817,16.0,0.6950736074904605,1.2197237949638422,0.7296858055171922,16.0,0.38571318467300864,1.1541845806798683,0.7595668734441012,16.0,0.47417832201167637,0.9686168417331,0.7340420517741366,16.0,0.7246585221621094,False,True,True
bert-base-uncased,13,sci.space,0,1,128,32,0.9905347646637499,0.4305691578910481,0.4315078436723831,0.41967058523963496,32.0,0.5593507797651064,0.4241721561539392,32.0,0.7713116644436206,0.652692943035607,0.4165953703348888,32.0,0.6043390916291137,0.5534263166299386,0.4272417598066133,32.0,0.7819094780957101,0.4986700191743792,0.42511747143538514,32.0,0.8798587814288227,False,True,True
bert-base-uncased,13,sci.space,0,2,128,8,0.7296276793042186,0.21425020919847074,0.2299828154624016,0.20615101036622002,8.0,0.4206886615836255,0.21259686896335972,8.0,0.6183172090374982,0.6824220576392787,0.21723396797715933,8.0,0.09447834868544708,0.31553873262227977,0.21195065556898637,8.0,0.8287665432963114,0.33080961561488914,0.21046752844524252,8.0,0.7982030689213522,False,False,True
bert-base-uncased,13,sci.space,0,2,128,16,0.4587957149974485,0.11833757874426741,0.11552364777912573,0.10771427464617064,16.0,0.21154714194823046,0.11286651097646302,16.0,0.7202700034779314,0.34483146417488475,0.11820733434662595,16.0,0.331993953793164,0.1767839380272904,0.11016554746960561,16.0,0.8215401248794216,0.1767839380272904,0.10981357030250853,16.0,0.8215401248794216,False,True,True
bert-base-uncased,13,sci.space,0,2,128,32,0.3422544784638369,0.04936633492322355,0.04439650486803263,0.042432568561471734,32.0,0.07877425593832707,0.043969401761648555,32.0,0.8845834118345769,0.13446012797222687,0.0461811520457165,32.0,0.6976289671989399,0.06094074802547088,0.04339254155055133,32.0,0.9444559332835288,0.06094074802547088,0.04337046594113429,32.0,0.9444559332835288,False,True,True
bert-base-uncased,13,sci.space,0,3,128,8,1.1994798986412347,0.10417498280812823,0.11871272906009953,0.10554119600251269,8.0,0.2574967217367742,0.10418975875913589,8.0,0.8715875198813986,0.31662020185897033,0.10373192795782177,8.0,0.8168824161492875,0.14735639965487662,0.1081947801167393,8.0,0.9734969090466745,0.14735639965487662,0.10786645997400324,8.0,0.9734969090466745,False,True,True
bert-base-uncased,13,sci.space,0,3,128,16,1.0104046837427965,0.055403411715583106,0.05109883521499175,0.04829865307498271,16.0,0.17476770989510024,0.04994365593290377,16.0,0.8710850404280381,0.1385442621539584,0.04916861639723184,16.0,0.9088451018273634,0.08726146223478941,0.04957487106098796,16.0,0.9623033393622122,0.08726146223478941,0.04956505896665065,16.0,0.9623033393622122,False,True,True
