model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
gpt2,82,comp.graphics,0,0,128,8,0.9332374949883094,0.5949495206074921,0.6708857368856338,0.5789849207822146,8.0,1.281023410880165,0.626946483426384,8.0,-1.325647361416743,0.9364390700275298,0.5901301284736968,8.0,-0.012203367960535536,1.6830962124060653,0.6873676961693822,8.0,-2.8582187626289377,0.7814696540171455,0.5864660024360887,8.0,0.5784898948981584,False,True,True
gpt2,82,comp.graphics,0,0,128,16,0.6466057458878584,0.4515612279673163,0.46042095130149857,0.41049018710167284,16.0,0.7710454755340935,0.46613716381674464,16.0,-0.6683667692772579,0.716694537216823,0.41846291565724103,16.0,-0.37644745095687554,1.0116381888646433,0.42180352056357306,16.0,-1.9605921299199793,0.5329433006924966,0.42238281167448444,16.0,0.6104818895005986,False,True,True
gpt2,82,comp.graphics,0,1,128,8,0.19685206160074453,0.10737824236044631,0.1620386345327338,0.10137237121351061,8.0,0.18091885866326116,0.10471312932080841,8.0,0.45767407231573676,0.18091885866326116,0.10359128652411849,8.0,0.45767407231573676,0.18091885866326116,0.10356452564729482,8.0,0.45767407231573676,0.18091885866326116,0.1034863352754877,8.0,0.45767407231573676,False,True,True
gpt2,82,comp.graphics,0,1,128,16,0.15348902078906013,0.08704759592227079,0.10963587614913631,0.07130704355926973,16.0,0.11030162760459489,0.07116898050362715,16.0,0.9848186153826588,0.11131923384915704,0.06842362860368896,16.0,0.961613751674077,0.1103635830760447,0.06837197788538549,16.0,0.9834058211130909,0.1103635830760447,0.06835851855442893,16.0,0.9834058211130909,False,True,False
gpt2,82,comp.graphics,0,2,128,8,0.7889259549351698,0.2713883827517404,0.35471481322505344,0.3042391021562799,8.0,1.2751286210477013,0.2889311781576608,8.0,-1.1197378864983736,0.490727606805123,0.27959168322414507,8.0,0.6867588587331251,0.5594781578023135,0.32119378758404626,8.0,0.5284244808394114,0.3944469602546689,0.2986047114932353,8.0,0.9084957910726735,False,True,True
gpt2,82,comp.graphics,0,2,128,16,0.6734415020556207,0.17597329241939824,0.16832398356400455,0.1555234944157045,16.0,0.8922458385827495,0.1907143532334262,16.0,-0.43317510978538853,0.2780410212491235,0.14849832137801178,16.0,0.7827890863639884,0.21547685274779485,0.15740020084415976,16.0,0.9066497053505522,0.21688416219405232,0.15310477440586212,16.0,0.9038636023255373,False,False,True
gpt2,82,comp.graphics,0,3,128,8,0.009653063226077528,0.0013487127970981678,0.0008638182377430968,0.0006175606901359639,8.0,0.0024615284479433536,0.0008537664383731522,8.0,0.8182198570729539,0.0021059561376601124,0.0007728724265768013,8.0,0.8586752443963447,0.0018352629302660882,0.0007434875403841777,8.0,0.8894734765258737,0.0018352629302660882,0.0007434875403841777,8.0,0.8894734765258737,False,True,True
gpt2,82,comp.graphics,0,3,128,16,0.0003317128095498122,4.7066976012295343e-05,2.4844393156037692e-05,1.85726870907807e-05,16.0,5.2612270168552525e-05,2.127750764608119e-05,16.0,0.9095121050943118,3.6981111022252424e-05,1.9893923785577867e-05,16.0,0.9604497653787841,3.6981111022252424e-05,1.998310126930001e-05,16.0,0.9604497653787841,3.6981111022252424e-05,1.998310126930001e-05,16.0,0.9604497653787841,False,True,True
gpt2,82,comp.graphics,0,4,128,8,0.10010784656542732,0.017564610239551928,0.0096940379135577,0.008174009558054182,8.0,0.06800062335106122,0.022222626767843444,8.0,0.3551141544981489,0.03278544137839634,0.013407006836894945,8.0,0.7446031329821526,0.03276489876036224,0.013344461945666044,8.0,0.7448303396261423,0.03276489876036224,0.013372841227068596,8.0,0.7448303396261423,False,True,True
gpt2,82,comp.graphics,0,4,128,16,0.02278716848348632,0.004528636931852484,0.0024023756963031783,0.0021166582770493726,16.0,0.013942055512067333,0.0049205875902346265,16.0,0.4339074261760618,0.004960055263498432,0.0030318182188812212,16.0,0.8745300188283794,0.005262854512868588,0.0029745017900256066,16.0,0.859675845301507,0.005262854512868588,0.0029745017900256066,16.0,0.859675845301507,False,False,True
gpt2,82,comp.graphics,0,5,128,8,0.3813962482265186,0.09206594494830778,0.132256152848868,0.09263328577037495,8.0,0.4939434049094531,0.10478058494998027,8.0,-0.451742448409734,0.24050229580217702,0.0932715872544316,8.0,0.5655209861374269,0.19640249079838323,0.09296914180411536,8.0,0.7425290463492792,0.20687272639487359,0.09377511628459977,8.0,0.7005035522969493,False,False,True
gpt2,82,comp.graphics,0,5,128,16,0.3174120680549883,0.07613154209248504,0.08952036621684444,0.06565078868045021,16.0,0.4939434049094531,0.07572830460873264,16.0,-0.7746281915075748,0.18651631179950603,0.06614035865985594,16.0,0.5743770185561592,0.16657603983391284,0.06586042926045695,16.0,0.6618759130080311,0.16657603983391284,0.06599965824655737,16.0,0.6618759130080311,False,True,True
gpt2,82,comp.graphics,0,6,128,8,1.2844732413031836,0.7792900781779538,0.9147170945569908,0.8285034410486629,8.0,1.5962282151941627,0.8029909665191666,8.0,-0.8431366905848172,1.0956198419856946,0.7728542470972513,8.0,0.5107512098970496,2.7449331734529014,0.9277729890700266,8.0,-3.949792167085199,1.0141670079780194,0.8628706501183114,8.0,0.7310391881347336,False,True,True
gpt2,82,comp.graphics,0,6,128,16,0.967755253953988,0.47927727489006466,0.5251879759068695,0.4989822234064705,16.0,1.2018332874618538,0.5244530769915214,16.0,-0.5289094904186395,0.7447486097580174,0.4700332338781732,16.0,0.5038932050738463,0.8042936473805842,0.4909059657379249,16.0,0.3693486045662885,0.5964465176951698,0.5082503943645591,16.0,0.8389882277272347,False,True,True
gpt2,82,comp.graphics,0,7,128,8,0.18908904608147184,0.05314142821557545,0.03278498933080788,0.02624557892754852,8.0,0.11336911689246384,0.05006718012438634,8.0,0.48443994841283194,0.16626296739304014,0.050116537675102844,8.0,0.14603638039186556,0.16626296739304014,0.04718125576127318,8.0,0.14603638039186556,0.16626296739304014,0.04808636831788997,8.0,0.14603638039186556,False,True,False
gpt2,82,comp.graphics,0,7,128,16,0.05398152156947633,0.0100891572474877,0.009617886597324989,0.008555954043984756,16.0,0.02262304164242971,0.00993195908949625,16.0,0.70685100413281,0.01718809715690788,0.009529632814367587,16.0,0.8293600025260558,0.021571609142923692,0.010512445896999928,16.0,0.7305513276109479,0.021571609142923692,0.010512445896999928,16.0,0.7305513276109479,False,False,True
gpt2,82,comp.graphics,0,8,128,8,0.9913072123486353,0.46346599294708213,0.5134977082141932,0.4625806826187121,8.0,1.4266852775527656,0.5062004327936658,8.0,-0.9111959084883068,0.5866974577809121,0.4661114860762457,8.0,0.8468013948376326,0.7197033287218099,0.5003493729875821,8.0,0.5684354984081768,0.5977264172163143,0.48567645264739395,8.0,0.823719059011389,False,False,True
gpt2,82,comp.graphics,0,8,128,16,0.628641031142924,0.2837359102949447,0.27815690799771203,0.26536769425097384,16.0,0.8421503504523394,0.3054679747147452,16.0,-0.6091839978182253,0.349584071574798,0.27326711834390294,16.0,0.7962042818484751,0.3582619239426061,0.284743751378808,16.0,0.7714446656640561,0.3429997700217051,0.27898295866191114,16.0,0.8149905866145968,False,True,True
gpt2,82,comp.graphics,0,9,128,8,0.7050200811791738,0.4132685638848018,0.4240558173078125,0.40840848774457755,8.0,0.7023578363194958,0.4164225184037791,8.0,0.00947538602595002,0.5229756895529658,0.39493957595075224,8.0,0.6479272100937239,0.5713375746428715,0.4020375344477334,8.0,0.4757989670797012,0.5498827459181426,0.3988875916288942,8.0,0.5521603819767642,False,False,True
gpt2,82,comp.graphics,0,9,128,16,0.4717621762801782,0.3024741594731726,0.32054365042376726,0.3125740990146188,16.0,0.426910462413072,0.3156595476385538,16.0,0.29660197791965637,0.39430846883470555,0.29907061089253245,16.0,0.5121972126551383,0.403490153948461,0.29614103930468094,16.0,0.45147922151115716,0.37279669888234596,0.2991329153970076,16.0,0.6544533934407255,False,True,True
gpt2,82,comp.graphics,0,10,128,8,1.2039747026090475,0.3427236435569042,0.41599091051284276,0.2195899687253692,8.0,1.5682029373324804,0.3931935526007557,8.0,-0.46222807927877324,0.5769696940483238,0.21729348603229542,8.0,0.7957080016744467,0.5988291358278686,0.22411980755798738,8.0,0.7679670227370576,0.48766563330825674,0.22077274165799646,8.0,0.9090403590602493,False,True,True
gpt2,82,comp.graphics,0,10,128,16,0.9041469732059118,0.2229663987988385,0.16919086619936247,0.11908688303703949,16.0,1.0325020365144018,0.23460165467464486,16.0,-0.1746431685985653,0.4297576640714245,0.1644535778883906,16.0,0.6454661776560486,0.25576142868465956,0.13577734632666205,16.0,0.8822098875565562,0.28899474318176477,0.1469570916229752,16.0,0.836991793332585,False,False,True
gpt2,82,comp.graphics,0,11,128,8,1.2174629519585476,0.7516354496954201,0.783391612692057,0.7391267725515522,8.0,1.3532747393609865,0.787903492387427,8.0,-0.3128789558691864,1.0186067365484943,0.7594613744495617,8.0,0.45811874091039434,1.7470824802613725,0.8422810358932169,8.0,-1.2201209349545978,1.0201046396974256,0.7557047096319084,8.0,0.45466791839937004,False,False,True
gpt2,82,comp.graphics,0,11,128,16,0.8670588477156792,0.628004708579467,0.6307201347544615,0.607237049646778,16.0,0.9364015826058596,0.6362942013519629,16.0,-0.2934040471886605,0.8925358730779234,0.6276740194590125,16.0,-0.10779878185435009,1.500069373301704,0.6396543270534361,16.0,-2.678403879138919,0.9371538709864582,0.6236053840027136,16.0,-0.29658714136384984,True,False,False
