model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
gpt2,82,comp.graphics,0,0,128,8,0.9332374949883094,0.5949495206074921,0.6708857368856338,0.5789849207822146,8.0,1.281023410880165,0.626946483426384,8.0,-1.325647361416743,0.9364390700275298,0.5901301284736968,8.0,-0.012203367960535536,1.6830962124060653,0.6873676961693822,8.0,-2.8582187626289377,0.7814696540171455,0.5864660024360887,8.0,0.5784898948981584,False,True,True
gpt2,82,comp.graphics,0,0,128,16,0.6466057458878584,0.4515612279673163,0.46042095130149857,0.41049018710167284,16.0,0.7710454755340935,0.46613716381674464,16.0,-0.6683667692772579,0.716694537216823,0.41846291565724103,16.0,-0.37644745095687554,1.0116381888646433,0.42180352056357306,16.0,-1.9605921299199793,0.5329433006924966,0.42238281167448444,16.0,0.6104818895005986,False,True,True
gpt2,82,comp.graphics,0,0,128,32,0.3876623092421334,0.23625743814439618,0.22658161430954676,0.21249123512768053,32.0,0.5444025220494744,0.25903886159361217,32.0,-0.9730539893246537,0.3441676410938706,0.22078094412317892,32.0,0.27001788244373803,0.2781671843019139,0.21440701372645282,32.0,0.6797532440870333,0.2607025898276798,0.21657668006912598,32.0,0.7881746441905227,False,True,True
gpt2,82,comp.graphics,0,1,128,8,0.19685206160074453,0.10737824236044631,0.1620386345327338,0.10137237121351061,8.0,0.18091885866326116,0.10471312932080841,8.0,0.45767407231573676,0.18091885866326116,0.10359128652411849,8.0,0.45767407231573676,0.18091885866326116,0.10356452564729482,8.0,0.45767407231573676,0.18091885866326116,0.1034863352754877,8.0,0.45767407231573676,False,True,True
gpt2,82,comp.graphics,0,1,128,16,0.15348902078906013,0.08704759592227079,0.10963587614913631,0.07130704355926973,16.0,0.11030162760459489,0.07116898050362715,16.0,0.9848186153826588,0.11131923384915704,0.06842362860368896,16.0,0.961613751674077,0.1103635830760447,0.06837197788538549,16.0,0.9834058211130909,0.1103635830760447,0.06835851855442893,16.0,0.9834058211130909,False,True,False
gpt2,82,comp.graphics,0,1,128,32,0.09878839186029312,0.05291222213274879,0.03215521005569239,0.02069297904159717,32.0,0.03411347779668768,0.02032560856469654,32.0,0.9706112226977568,0.03456595569055357,0.020346552406207627,32.0,0.9638206435656846,0.034758161781727,0.020316390392217915,32.0,0.9609361033716254,0.034758161781727,0.020316390392217915,32.0,0.9609361033716254,False,False,False
gpt2,82,comp.graphics,0,2,128,8,0.7889259549351698,0.2713883827517404,0.35471481322505344,0.3042391021562799,8.0,1.2751286210477013,0.2889311781576608,8.0,-1.1197378864983736,0.490727606805123,0.27959168322414507,8.0,0.6867588587331251,0.5594781578023135,0.32119378758404626,8.0,0.5284244808394114,0.3944469602546689,0.2986047114932353,8.0,0.9084957910726735,False,True,True
gpt2,82,comp.graphics,0,2,128,16,0.6734415020556207,0.17597329241939824,0.16832398356400455,0.1555234944157045,16.0,0.8922458385827495,0.1907143532334262,16.0,-0.43317510978538853,0.2780410212491235,0.14849832137801178,16.0,0.7827890863639884,0.21547685274779485,0.15740020084415976,16.0,0.9066497053505522,0.21688416219405232,0.15310477440586212,16.0,0.9038636023255373,False,False,True
gpt2,82,comp.graphics,0,2,128,32,0.39714065905698925,0.09888443905032497,0.0734253369114068,0.07115613657631263,32.0,0.500565634219849,0.10482768484447207,32.0,-0.319493604681298,0.16536648959553713,0.08007851521007064,32.0,0.7159814615052968,0.11301518491892676,0.07579156654672678,32.0,0.8777016554387392,0.13311512278636212,0.07786299120482537,32.0,0.8156102544688588,False,False,True
gpt2,82,comp.graphics,0,3,128,8,0.009653063226077528,0.0013487127970981678,0.0008638182377430968,0.0006175606901359639,8.0,0.0024615284479433536,0.0008537664383731522,8.0,0.8182198570729539,0.0021059561376601124,0.0007728724265768013,8.0,0.8586752443963447,0.0018352629302660882,0.0007434875403841777,8.0,0.8894734765258737,0.0018352629302660882,0.0007434875403841777,8.0,0.8894734765258737,False,True,True
gpt2,82,comp.graphics,0,3,128,16,0.0003317128095498122,4.7066976012295343e-05,2.4844393156037692e-05,1.85726870907807e-05,16.0,5.2612270168552525e-05,2.127750764608119e-05,16.0,0.9095121050943118,3.6981111022252424e-05,1.9893923785577867e-05,16.0,0.9604497653787841,3.6981111022252424e-05,1.998310126930001e-05,16.0,0.9604497653787841,3.6981111022252424e-05,1.998310126930001e-05,16.0,0.9604497653787841,False,True,True
gpt2,82,comp.graphics,0,3,128,32,1.1239965804245195e-05,8.4921960121768e-07,2.896444339604139e-07,2.6119571470537103e-07,32.0,4.456116480041557e-07,2.798301907341688e-07,32.0,0.9857568368297409,3.695655759707138e-07,2.6573463202624363e-07,32.0,0.9927014797732625,3.695655759707138e-07,2.671222079723209e-07,32.0,0.9927014797732625,3.695655759707138e-07,2.671222079723209e-07,32.0,0.9927014797732625,False,True,True
gpt2,82,comp.graphics,0,4,128,8,0.10010784656542732,0.017564610239551928,0.0096940379135577,0.008174009558054182,8.0,0.06800062335106122,0.022222626767843444,8.0,0.3551141544981489,0.03278544137839634,0.013407006836894945,8.0,0.7446031329821526,0.03276489876036224,0.013344461945666044,8.0,0.7448303396261423,0.03276489876036224,0.013372841227068596,8.0,0.7448303396261423,False,True,True
gpt2,82,comp.graphics,0,4,128,16,0.02278716848348632,0.004528636931852484,0.0024023756963031783,0.0021166582770493726,16.0,0.013942055512067333,0.0049205875902346265,16.0,0.4339074261760618,0.004960055263498432,0.0030318182188812212,16.0,0.8745300188283794,0.005262854512868588,0.0029745017900256066,16.0,0.859675845301507,0.005262854512868588,0.0029745017900256066,16.0,0.859675845301507,False,False,True
gpt2,82,comp.graphics,0,4,128,32,0.0018977483820856128,0.000511546430266941,0.00039839730810653387,0.00034268757470658467,32.0,0.0013184169614355251,0.0005089024564253562,32.0,0.386388105297193,0.0005881301434297641,0.00038619278043477837,32.0,0.8734566982903449,0.0005582018640848289,0.00037254684159322064,32.0,0.8934175199180037,0.0005582018640848289,0.00037254684159322064,32.0,0.8934175199180037,False,True,True
gpt2,82,comp.graphics,0,5,128,8,0.3813962482265186,0.09206594494830778,0.132256152848868,0.09263328577037495,8.0,0.4939434049094531,0.10478058494998027,8.0,-0.451742448409734,0.24050229580217702,0.0932715872544316,8.0,0.5655209861374269,0.19640249079838323,0.09296914180411536,8.0,0.7425290463492792,0.20687272639487359,0.09377511628459977,8.0,0.7005035522969493,False,False,True
gpt2,82,comp.graphics,0,5,128,16,0.3174120680549883,0.07613154209248504,0.08952036621684444,0.06565078868045021,16.0,0.4939434049094531,0.07572830460873264,16.0,-0.7746281915075748,0.18651631179950603,0.06614035865985594,16.0,0.5743770185561592,0.16657603983391284,0.06586042926045695,16.0,0.6618759130080311,0.16657603983391284,0.06599965824655737,16.0,0.6618759130080311,False,True,True
gpt2,82,comp.graphics,0,5,128,32,0.20687272639487359,0.04370910103174892,0.0319672424894628,0.024395412618610644,32.0,0.18037650453536083,0.0302783919906761,32.0,0.1514887999386112,0.10692940476955641,0.026100715476643235,32.0,0.5714133107419703,0.08582381533287546,0.025883168641669115,32.0,0.6920818510611229,0.08870373387844797,0.02592385684328831,32.0,0.6756162807355522,False,False,True
gpt2,82,comp.graphics,0,6,128,8,1.2844732413031836,0.7792900781779538,0.9147170945569908,0.8285034410486629,8.0,1.5962282151941627,0.8029909665191666,8.0,-0.8431366905848172,1.0956198419856946,0.7728542470972513,8.0,0.5107512098970496,2.7449331734529014,0.9277729890700266,8.0,-3.949792167085199,1.0141670079780194,0.8628706501183114,8.0,0.7310391881347336,False,True,True
gpt2,82,comp.graphics,0,6,128,16,0.967755253953988,0.47927727489006466,0.5251879759068695,0.4989822234064705,16.0,1.2018332874618538,0.5244530769915214,16.0,-0.5289094904186395,0.7447486097580174,0.4700332338781732,16.0,0.5038932050738463,0.8042936473805842,0.4909059657379249,16.0,0.3693486045662885,0.5964465176951698,0.5082503943645591,16.0,0.8389882277272347,False,True,True
gpt2,82,comp.graphics,0,6,128,32,0.5926207364896638,0.2802698673436846,0.26428971379342026,0.25619450690236467,32.0,0.8194059823793606,0.3263376611153244,32.0,-0.6907213458763163,0.4452401480147965,0.26120593737390885,32.0,0.4488780477232483,0.37359626999221657,0.26157125301427764,32.0,0.6670842879811525,0.30834445294950563,0.2610232110623065,32.0,0.8658221852010531,False,True,True
gpt2,82,comp.graphics,0,7,128,8,0.18908904608147184,0.05314142821557545,0.03278498933080788,0.02624557892754852,8.0,0.11336911689246384,0.05006718012438634,8.0,0.48443994841283194,0.16626296739304014,0.050116537675102844,8.0,0.14603638039186556,0.16626296739304014,0.04718125576127318,8.0,0.14603638039186556,0.16626296739304014,0.04808636831788997,8.0,0.14603638039186556,False,True,False
gpt2,82,comp.graphics,0,7,128,16,0.05398152156947633,0.0100891572474877,0.009617886597324989,0.008555954043984756,16.0,0.02262304164242971,0.00993195908949625,16.0,0.70685100413281,0.01718809715690788,0.009529632814367587,16.0,0.8293600025260558,0.021571609142923692,0.010512445896999928,16.0,0.7305513276109479,0.021571609142923692,0.010512445896999928,16.0,0.7305513276109479,False,False,True
gpt2,82,comp.graphics,0,7,128,32,0.00444326474604941,0.0007615898875259624,0.0005045127292465301,0.00044547978896506465,32.0,0.001469005140658696,0.0006192584746320322,32.0,0.755127409063175,0.0008958518361286389,0.0005126234756239868,32.0,0.9006438828307443,0.0011878640183123868,0.0005079885922177812,32.0,0.8265056327103987,0.0011878640183123868,0.0005079885922177812,32.0,0.8265056327103987,False,False,True
gpt2,82,comp.graphics,0,8,128,8,0.9913072123486353,0.46346599294708213,0.5134977082141932,0.4625806826187121,8.0,1.4266852775527656,0.5062004327936658,8.0,-0.9111959084883068,0.5866974577809121,0.4661114860762457,8.0,0.8468013948376326,0.7197033287218099,0.5003493729875821,8.0,0.5684354984081768,0.5977264172163143,0.48567645264739395,8.0,0.823719059011389,False,False,True
gpt2,82,comp.graphics,0,8,128,16,0.628641031142924,0.2837359102949447,0.27815690799771203,0.26536769425097384,16.0,0.8421503504523394,0.3054679747147452,16.0,-0.6091839978182253,0.349584071574798,0.27326711834390294,16.0,0.7962042818484751,0.3582619239426061,0.284743751378808,16.0,0.7714446656640561,0.3429997700217051,0.27898295866191114,16.0,0.8149905866145968,False,True,True
gpt2,82,comp.graphics,0,8,128,32,0.39071572635871654,0.16121745186969208,0.1518636471593254,0.14864974530152392,32.0,0.40801390824223616,0.16493408641216034,32.0,-0.07242215324857725,0.19091664437991634,0.15361572114136482,32.0,0.8364971435396636,0.18936347566684567,0.15346331027919535,32.0,0.8429997819855032,0.184342027565885,0.1530708218491281,32.0,0.8640230367036202,False,True,True
gpt2,82,comp.graphics,0,9,128,8,0.7050200811791738,0.4132685638848018,0.4240558173078125,0.40840848774457755,8.0,0.7023578363194958,0.4164225184037791,8.0,0.00947538602595002,0.5229756895529658,0.39493957595075224,8.0,0.6479272100937239,0.5713375746428715,0.4020375344477334,8.0,0.4757989670797012,0.5498827459181426,0.3988875916288942,8.0,0.5521603819767642,False,False,True
gpt2,82,comp.graphics,0,9,128,16,0.4717621762801782,0.3024741594731726,0.32054365042376726,0.3125740990146188,16.0,0.426910462413072,0.3156595476385538,16.0,0.29660197791965637,0.39430846883470555,0.29907061089253245,16.0,0.5121972126551383,0.403490153948461,0.29614103930468094,16.0,0.45147922151115716,0.37279669888234596,0.2991329153970076,16.0,0.6544533934407255,False,True,True
gpt2,82,comp.graphics,0,9,128,32,0.352226449817892,0.21226720329373677,0.21402188688932453,0.21033571058599548,32.0,0.3105952543273523,0.21255393821217722,32.0,0.301228806114435,0.2815585045777981,0.20864651770854126,32.0,0.5113285968468306,0.280692993253901,0.2091776330832901,32.0,0.5175911348235572,0.2679898353003752,0.2078352403140316,32.0,0.6095067538475949,False,True,True
