model,doc_idx,category,layer,head,tokens,budget,eval_positions,anchor_max_dP,fixed_mean_k,fixed_mean_kl,fixed_mean_kl_improvement,fixed_max_kl,fixed_max_kl_improvement,fixed_mean_logit_l2,fixed_mean_logit_l2_improvement,fixed_max_logit_l2,fixed_max_logit_l2_improvement,projected_oracle_mean_k,projected_oracle_mean_kl,projected_oracle_mean_kl_improvement,projected_oracle_max_kl,projected_oracle_max_kl_improvement,projected_oracle_mean_logit_l2,projected_oracle_mean_logit_l2_improvement,projected_oracle_max_logit_l2,projected_oracle_max_logit_l2_improvement,mass_mean_k,mass_mean_kl,mass_mean_kl_improvement,mass_max_kl,mass_max_kl_improvement,mass_mean_logit_l2,mass_mean_logit_l2_improvement,mass_max_logit_l2,mass_max_logit_l2_improvement,UTC_abs_mean_k,UTC_abs_mean_kl,UTC_abs_mean_kl_improvement,UTC_abs_max_kl,UTC_abs_max_kl_improvement,UTC_abs_mean_logit_l2,UTC_abs_mean_logit_l2_improvement,UTC_abs_max_logit_l2,UTC_abs_max_logit_l2_improvement,UTC_rel_mean_k,UTC_rel_mean_kl,UTC_rel_mean_kl_improvement,UTC_rel_max_kl,UTC_rel_max_kl_improvement,UTC_rel_mean_logit_l2,UTC_rel_mean_logit_l2_improvement,UTC_rel_max_logit_l2,UTC_rel_max_logit_l2_improvement,UTC_rel_hat_mean_k,UTC_rel_hat_mean_kl,UTC_rel_hat_mean_kl_improvement,UTC_rel_hat_max_kl,UTC_rel_hat_max_kl_improvement,UTC_rel_hat_mean_logit_l2,UTC_rel_hat_mean_logit_l2_improvement,UTC_rel_hat_max_logit_l2,UTC_rel_hat_max_logit_l2_improvement
gpt2,82,comp.graphics,0,0,128,8,63,8.880767283503399e-07,8.0,0.014323375187814236,0.0,0.4492071866989136,0.0,960.8693237304688,0.0,19845.7890625,0.0,8.0,0.00963799748569727,0.3271140803532886,0.19212429225444794,0.5723036096855202,894.6697387695312,0.06889551297560936,20706.201171875,-0.04335489542216342,8.0,0.019611703231930733,-0.3692096293487863,0.5722894668579102,-0.27399891142323574,1558.1612548828125,-0.6216161931712254,32035.810546875,-0.6142371787780863,8.0,0.012326320633292198,0.13942625452002777,0.3549305498600006,0.20987339390476623,911.4065551757812,0.05147710238334369,19952.8515625,-0.005394721251084089,8.0,0.013281273655593395,0.07275530512580719,0.15818175673484802,0.6478645902856599,949.2344360351562,0.012108709694406028,19774.47265625,0.0035935283815324848,8.0,0.00840970128774643,0.4128687423547299,0.15055423974990845,0.6648445434359909,850.5128173828125,0.1148506915791726,19927.37109375,-0.0041107980636634345
gpt2,82,comp.graphics,0,0,128,16,63,8.880767283503399e-07,16.0,0.0014987858012318611,0.0,0.015249961987137794,0.0,209.54025268554688,0.0,2436.674560546875,0.0,16.0,0.0013540486106649041,0.09656963019531983,0.010186243802309036,0.33204792176528874,201.09339904785156,0.040311365140765276,3066.3076171875,-0.25839850213699167,16.0,0.001756099984049797,-0.17168175906553684,0.027482910081744194,-0.802162530301648,394.11322021484375,-0.8808473081603183,6969.81103515625,-1.8603782991816438,16.0,0.0012838855618610978,0.14338288979928648,0.01154669001698494,0.24283811154914936,245.55397033691406,-0.1718701642753686,3954.450439453125,-0.6228882196585201,16.0,0.0013655381044372916,0.08890376242225706,0.009631272405385971,0.36843957948818296,275.77801513671875,-0.3161099674274692,4555.63916015625,-0.8696132975319466,16.0,0.0016127105336636305,-0.07601135021304173,0.014538701623678207,0.04664014009080697,276.8642272949219,-0.321293755001846,4504.35595703125,-0.8485669075234712
gpt2,82,comp.graphics,0,0,128,32,63,8.880767283503399e-07,32.0,0.0002817925123963505,0.0,0.004704674240201712,0.0,112.2583236694336,0.0,2426.038330078125,0.0,32.0,0.000228201097343117,0.1901804082638484,0.0027197040617465973,0.42191447847619934,78.2500228881836,0.3029468075916939,1421.787353515625,0.41394687137122044,32.0,0.0002512095379643142,0.10853011732625573,0.004492879845201969,0.04501786610217284,87.23844909667969,0.22287767850898776,1421.2369384765625,0.41417374950098385,32.0,0.00024401067639701068,0.13407679174313336,0.0024737115018069744,0.47420132074842347,70.52025604248047,0.37180376708509344,567.4141235351562,0.7661149387046642,32.0,0.00023333891294896603,0.1719477889434936,0.0027248822152614594,0.4208138382935881,74.76765441894531,0.3339678344109861,1082.6527099609375,0.553736354228965,32.0,0.00023971097834873945,0.14933517462813917,0.0027150455862283707,0.4229046587268147,75.77066040039062,0.3250330316394887,1207.7840576171875,0.5021578832275524
gpt2,82,comp.graphics,0,1,128,8,63,8.880767283503399e-07,8.0,0.0028628569561988115,0.0,0.018523134291172028,0.0,3762.834228515625,0.0,61536.87890625,0.0,8.0,0.0028615437913686037,0.00045869033985945773,0.022428438067436218,-0.2108338532170242,3531.98876953125,0.0613488251050166,62308.30859375,-0.01253605482129272,8.0,0.003522719256579876,-0.230490838514406,0.032715775072574615,-0.7662116226283953,3740.453369140625,0.005947872804332621,61841.421875,-0.0049489505181756765,8.0,0.0034793054219335318,-0.21532632442565913,0.0326056107878685,-0.7602642336512166,3796.9677734375,-0.009071232706241217,61850.921875,-0.005103329488459041,8.0,0.0034708597231656313,-0.21237622985330784,0.032620303332805634,-0.7610574333714246,3770.480224609375,-0.0020319779265871585,61789.8359375,-0.004110657474770019,8.0,0.0034922384656965733,-0.21984385497675363,0.0326039157807827,-0.7601727260770039,3824.922607421875,-0.016500428968071468,61901.94921875,-0.0059325451499769866
gpt2,82,comp.graphics,0,1,128,16,63,8.880767283503399e-07,16.0,0.0016178963705897331,0.0,0.014869311824440956,0.0,3095.37451171875,0.0,60579.1015625,0.0,16.0,0.0014765092637389898,0.0873894703152136,0.014246907085180283,0.041858341973675994,2146.167724609375,0.30665329300728605,45782.3125,0.2442556703689972,16.0,0.0014697867445647717,0.09154456905727193,0.01426386833190918,0.040717653895494865,2152.2900390625,0.30467540166329954,45811.1015625,0.243780439443522,16.0,0.0008717268356122077,0.46119736006672796,0.01051547285169363,0.29280702591701935,2172.9375,0.29800497749997756,45914.41796875,0.24207496010188123,16.0,0.0008679812890477479,0.46351243205313364,0.010482581332325935,0.2950190663769975,2160.823974609375,0.30191840553421523,45889.0390625,0.24249389840891133,16.0,0.0008670694660395384,0.4640760175984039,0.010476598516106606,0.2954214263711902,2150.2001953125,0.3053505521958404,45858.859375,0.24299208485805945
gpt2,82,comp.graphics,0,1,128,32,63,8.880767283503399e-07,32.0,0.0004890880663879216,0.0,0.00895682256668806,0.0,1659.6827392578125,0.0,43863.6328125,0.0,32.0,3.289933374617249e-05,0.9327333132678026,0.0006624740781262517,0.9260369318255667,324.63348388671875,0.8044002771084489,8403.529296875,0.8084169331619926,32.0,3.1103594665182754e-05,0.9364049200895594,0.0006230522412806749,0.9304382512166858,319.731201171875,0.8073540239896364,8125.45263671875,0.8147565052021134,32.0,3.1347608455689624e-05,0.9359060042351838,0.0006588066462427378,0.9264463886230201,322.73443603515625,0.8055445005233478,8375.0927734375,0.8090652270130527,32.0,3.110253601334989e-05,0.93640708463191,0.000643639185000211,0.9281397861565313,319.0005187988281,0.8077942782356821,8261.7236328125,0.8116498086665972,32.0,3.110253601334989e-05,0.93640708463191,0.000643639185000211,0.9281397861565313,319.0005187988281,0.8077942782356821,8261.7236328125,0.8116498086665972
gpt2,82,comp.graphics,0,2,128,8,63,8.880767283503399e-07,8.0,0.009403309784829617,0.0,0.22566008567810059,0.0,346.5216369628906,0.0,4422.12353515625,0.0,8.0,0.002708904678002,0.7119200855881317,0.058211907744407654,0.7420371991374419,803.5590209960938,-1.3189288496930072,21575.92578125,-3.879087074279946,8.0,0.010802051052451134,-0.14874988696832148,0.24452745914459229,-0.08360970620832608,431.31781005859375,-0.2447067197272419,4080.627685546875,0.07722440291286636,8.0,0.0027240111958235502,0.7103135748842174,0.057349592447280884,0.7458585009619784,579.9819946289062,-0.6737251956679899,14050.9345703125,-2.1774179211879545,8.0,0.002271419856697321,0.7584446425064281,0.04396678879857063,0.8051636439539054,844.6641845703125,-1.4375510631123114,22672.30078125,-4.127016602092484,8.0,0.0026724550407379866,0.7157963417253927,0.05502063408493996,0.756179149185356,793.56982421875,-1.2901017990508175,21296.58984375,-3.8159192465882823
gpt2,82,comp.graphics,0,2,128,16,63,8.880767283503399e-07,16.0,0.0038436895702034235,0.0,0.10306641459465027,0.0,170.9257049560547,0.0,2052.53857421875,0.0,16.0,0.0005444870330393314,0.8583426098558435,0.012533457949757576,0.8783943537858536,321.20257568359375,-0.8791940964419338,8335.1669921875,-3.060906380461124,16.0,0.004689693450927734,-0.22010203094511005,0.11808113753795624,-0.14568007437104846,271.54693603515625,-0.5886840197907708,3511.5341796875,-0.7108249383444996,16.0,0.0008337926701642573,0.7830749193098522,0.02161986194550991,0.7902336854295492,100.16954803466797,0.4139585496492658,666.7241821289062,0.6751709368567268,16.0,0.0005477162776514888,0.8575024679679057,0.012452383525669575,0.879180976900734,331.84710693359375,-0.9414698744048606,8651.072265625,-3.2148159232124662,16.0,0.0006548326928168535,0.8296343445908934,0.016132518649101257,0.8434745332652852,130.14657592773438,0.23857809472720737,1366.312255859375,0.3343305343825612
gpt2,82,comp.graphics,0,2,128,32,63,8.880767283503399e-07,32.0,0.0012712741736322641,0.0,0.037527527660131454,0.0,123.9291000366211,0.0,1912.3092041015625,0.0,32.0,8.98644357221201e-05,0.9293115225763134,0.0017553656361997128,0.9532245861731898,114.30642700195312,0.07764659819061437,2342.826171875,-0.22512937073672767,32.0,0.001143071916885674,0.10084548196263021,0.02938779629766941,0.21690028280518847,195.30825805664062,-0.5759676944230772,3528.035400390625,-0.8449084451529165,32.0,0.000267948693362996,0.7892282413026473,0.006608075927942991,0.8239139016087306,142.93182373046875,-0.15333544492966023,3110.33349609375,-0.6264804297456912,32.0,0.0001562720281071961,0.877074488455391,0.003732364159077406,0.9005432973661465,124.79696655273438,-0.007002927608260157,2842.163818359375,-0.48624700036136415,32.0,0.0001957001950358972,0.8460598043325731,0.004608582239598036,0.8771946214699854,120.36967468261719,0.0287214653616632,2541.491455078125,-0.32901700709648773
gpt2,82,comp.graphics,0,3,128,8,63,8.880767283503399e-07,8.0,2.559675067459466e-07,0.0,6.3028019212652e-06,0.0,22.983633041381836,0.0,553.3917236328125,0.0,8.0,1.198496732968124e-07,0.5317777837490685,1.4198749340721406e-06,0.7747232180529766,9.231219291687012,0.5983568274403668,231.51104736328125,0.5816506870693754,8.0,5.4119777104233435e-08,0.7885677842776017,9.549555670673726e-07,0.8484871365153613,5.3856282234191895,0.7656755042284911,124.79706573486328,0.7744869313989436,8.0,6.792270568212189e-08,0.7346432500530754,1.2037853593938053e-06,0.8090079024485411,6.181114673614502,0.7310645074046624,146.00645446777344,0.7361607551531582,8.0,6.647010053484337e-08,0.7403182092138889,1.1565261957002804e-06,0.8165060222187461,5.863530158996582,0.7448823626604486,136.6707763671875,0.7530306823708994,8.0,6.647010053484337e-08,0.7403182092138889,1.1565261957002804e-06,0.8165060222187461,5.863530158996582,0.7448823626604486,136.6707763671875,0.7530306823708994
